Caste,subcastes,source
MUSLIM NEHARIYA,['MUSLIM NEHARIYA'],gov
MUSLIM PENCHI,['MUSLIM PENCHI'],gov
MUSLIM PIYADA,['MUSLIM PIYADA'],gov
MUSLIM RAJMISTRI,['MUSLIM RAJMISTRI'],gov
MUSLIM RAJPUT,"['GOND', 'SULEMANI', 'ANSARI', 'QURESHI', 'GADDI', 'KHAN', 'IRAQI', 'MUSLIMRAJPUT', 'FAKIR', 'SIDDIQUI', 'PATHAN', 'SHEIKH', 'SAIYED']",gov
MUSLIM SALMANI,"['SULEMANI', 'MUSLIMSALMANI']",gov
MUSLIM SANPUI,"['MUSLIM SANPUI', 'SAPUI']",gov
MUSLIM SARDAR,['MUSLIM SARDAR'],gov
MUSLIM TELI,"['MUSLIMTELI', 'KHAN', 'DERWAL', 'SIDDIQUI', 'PRAJAPATI', 'MALIK', 'ALI']",gov
NAIR,"['PILLAI', 'THIYA', 'CHETTIAR', 'KURUP', 'VELUTHODATHU NAIR', 'VILAKIKRISHNAN', 'PICARI', 'BRAHMAN', 'BHATTATHI', 'PATTAR', 'NAMBIYAR', 'CHETTI', 'PANICKAR', 'VLLAKIAM', 'DEVARA', 'R.C.NADAR', 'NAMBUTHIRI', 'KARTHA', 'NADAR', 'VILAKIT', 'VELUTHEDATHU NAIR', 'VALAKATHALA', 'SYRIAN', 'GUPTHAN', 'POTHUWAL', 'SUNNI', 'VADIAR', 'MARAR', 'NAIR', 'VILAKITHALA', 'MENON', 'PENTACOSTAL', 'ROMAN CATHOLIC', 'IYYANGA R', 'VARIAR']",mf_shadi_jeevansathi
NEYGI,"['THOGATAGERA', 'THOGATARU', 'LINGAYAT KURUSHINASHETTY', 'JHAMKHANA', 'LINGAYAT BILIMAGGA', 'KURNI', 'LINGAYAT NEYGI', 'SALE', 'NEIKAR', 'PADMA SALI', 'THOGATIGA', 'JANDRA', 'PADMA SHALI', 'AYIRI', 'THOGATA', 'JADAR LINGAYAT JADARU SAKULASALE', 'PATTASALE', 'KAIKOLAN', 'THOGATAVEERA KSHATRIYA', 'SENGUNDHAR', 'NEKAR', 'THOGATAVEERA', 'KURUSHINASETTY', 'AVIR', 'SONIGA', 'SAALE', 'NEYGI', 'PATTASALI', 'THOGAJA PUSHPANJALI', 'BILIMAGGA', 'PADMASALE']",gov
PAHADIA MUSLIM,['PAHADIA MUSLIM'],gov
PATHAN,"['RAIGAR', 'LEELGA R', 'PAWAR', 'BHATI', 'MIRZA', 'SOLANKI', 'BHAGE', 'KHAN', 'RAVANA', 'PATHAN', 'MEWAD', 'GOYAL', 'PANWAR', 'JATAV', 'MEENA']",mf
