caste1,caste2,score
KHANGAR,SANGAR,2
KHANGAR,DHANGAR,1
KHANGAR,HANBAR,2
KHATIK,KHATI,1
KHATIK,KHATIK,0
KORI,TURI,2
KORI,BARI,2
KORI,JOGI,2
KORI,KOLI,1
KORI,AGRI,2
KORI,KOHLI,2
MADGI,MADIGA,2
MADGI,MANG,2
MADGI,GADRI,2
MADGI,MAHLI,2
MADGI,WADI,2
MADGI,MALI,2
MADIGA,NADIA,2
MADIGA,BADIA,2
MADIGA,LADIA,2
MAHAR,MALA,2
MAHAR,KASAR,2
MAHAR,LOHAR,2
MAHAR,MAHLI,2
MAHAR,MEDAR,2
MAHAR,MAHALI,2
MAHAR,KATHAR,2
MAHAR,PAHAD,2
MAHAR,MAHAT,1
MAHAR,PAHAD,2
MALA,MANG,2
MALA,MINA,2
MALA,MAHLI,2
MALA,SALI,2
MALA,MALI,1
MALA,KALAL,2
MALA,MAHAT,2
MANG,MANNE,2
MANG,MINA,2
MANG,MALI,2
MASHTI,KOSHTI,2
MASHTI,MACHHI,2
MASHTI,MAHLI,2
MUKRI,TURI,2
NADIA,BADIA,1
NADIA,BARIA,2
NADIA,LADIA,1
NADIA,NAVI,2
NADIA,NONIA,2
NADIA,PADIAR,2
NADIA,WADI,2
PASI,SANSI,2
PASI,BARI,2
PASI,DAS,2
PASI,KASBI,2
PASI,NAVI,2
PASI,SALI,2
PASI,WADI,2
PASI,MALI,2
PASI,UDASI,2
SANSI,BANDI,2
SANSI,SALI,2
TIRGAR,JINGAR,2
TIRGAR,NILGAR,2
TURI,BARI,2
TURI,AGRI,2
TURI,TELI,2
TURI,OTARI,2
BAGDI,BADIA,2
BAGDI,BARI,2
BAGDI,KAPDI,2
BAGDI,BANDI,1
BAGDI,WADI,2
BAGDI,AGRI,2
BADIA,BARI,2
BADIA,BARIA,1
BADIA,LADIA,1
BADIA,PADIAR,2
BADIA,BANDI,2
BADIA,WADI,2
BAJANIA,SARANIA,2
BAJIGAR,JATIGAR,2
BHAND,BHANTA,2
BHAND,BHAAT,2
BHAND,BANDI,2
BARI,BARIA,1
BARI,GADRI,2
BARI,NAVI,2
BARI,BANDI,2
BARI,SALI,2
BARI,WADI,2
BARI,AGRI,2
BARI,MALI,2
BARI,BHOI,2
BARI,OTARI,2
BARI,DARJI,2
BARIA,LADIA,2
BHANTA,BHAAT,2
BHANTA,BHAMTA,1
BHANTA,BHAMTA,1
BHANTA,BHAMPTA,2
BHAAT,BHAMTA,2
BHAAT,BHAMTA,2
CHAMTHA,BHAMTA,2
CHAMTHA,BHAMTA,2
DAS,UDASI,2
DABGAR,DHANGAR,2
DABGAR,SANGAR,2
DABGAR,DHANGAR,2
DEVLI,DEVDIG,2
DEVLI,DHOLI,2
DEVLI,NEELI,2
DEVLI,TELI,2
DHOLI,KOLI,2
DHOLI,BHOI,2
DHANGAR,SANGAR,2
DHANGAR,DHANGAR,0
DHANGAR,HANBAR,2
GADARIA,GADRI,2
GADARIA,PADHARIA,2
GADARIA,GADARIYA,1
GADRI,GAWLI,2
GADRI,WADI,2
GADRI,AGRI,2
GADHAVI,WADHAI,2
GADHAVI,RAGHAVI,2
GAWLI,MAHLI,2
GAWLI,SALI,2
GAWLI,MALI,2
GAWLI,GANALI,2
HATKAR,PATKAR,1
HATKAR,KATHAR,2
HATKAR,THAKKAR,2
HATKAR,ATTAR,2
HATKAR,HANBAR,2
JATIYA,JATIGAR,2
JAVERI,DAVARI,2
JOGI,JOGIN,1
JOGI,KOLI,2
JOGI,JOSHI,2
JOGIN,MOMIN,2
JOHARI,JHADI,2
JOHARI,LOHAR,2
JOHARI,LONARI,2
JOHARI,OTARI,2
JOHARI,GOVARI,2
JULAHA,MULANA,2
JANGAM,JINGAR,2
JANGAM,SANGAR,2
JINGAR,SANGAR,2
JINGAR,NILGAR,2
JHADI,KHATI,2
JHADI,WADI,2
KAMMI,KAPDI,2
KAMMI,KAMATI,2
KAMMI,KASBI,2
KAMMI,KACHI,2
KAMMI,KATHI,2
KAPDI,KASBI,2
KAPDI,KACHI,2
KAPDI,KATHI,2
KAPDI,BANDI,2
KAPDI,WADI,2
KHATI,KAMATI,2
KHATI,KATHI,2
KHATI,KHATIK,1
