Caste,subcastes
BATTERA,['BATTERA']
BATWAL,"['BARWALA', 'BATWAL']"
BAURI,"['BAURIA', 'CHASA', 'BAURI', 'PATHURIYA', 'BAWARIA', 'CHASHA', 'DASIA BAURI', 'MALLABHUMIA', 'BUNA BAURI', 'BAULIYA', 'DULIA']"
BAUTI,['BAUTI']
BAVACHA,"['BAVACHA', 'BAMCHA']"
BAVASAR,['BAVASAR']
BAVASARKSHATRIYA,"['BAVASARKSHATRIYA', 'DARJE']"
BAVRI,"['BAORI', 'BAVRI', 'BAVURI']"
BAWA,"['BAWA-DEDH', 'DEDH-SADHU']"
BAWAJI,"['NIMAVAT', 'BAWAJI', 'BAKSHI PANCH', 'GOSAWMI', 'NATH', 'BAVAJI']"
BAWARCHI,"['BHATIARA', 'BAWARCHI']"
BAWARIA,"['BAWRIA', 'BAURIA', 'DABLA', 'BAWARIA']"
BAWTAR,['BAWTAR']
BAYAR,"['BAYAR', 'BARWAR']"
BAYEN,"['BAJUNIA', 'BAYEN']"
BAZIGAR,"['BAZIGAR', 'KALANDAR', 'JOGI', 'NAT', 'BADHAI']"
BEDA,['BEDA']
BEDA JANGAM,"['BUDGA JANGAM', 'BEDA JANGAM']"
BEDARU,"['HIRSHIKARI', 'BENDAR', 'MYASA NAYAKA', 'BARGI', 'RAMOSHI', 'BOYA', 'BYADA', 'URS NAYAKA', 'BEDARU', 'BERAD', 'BEPAR', 'VALMIKIMAKKALUM VEDAN', 'NAIKAMAKKALU', 'TALAWARA', 'TALWAR', 'PALEGAR', 'NAIKWADI', 'PARIVARA NAYAKA', 'PARIVARA', 'BARKI', 'VALIMIKI', 'BEDAR']"
BEDIA,"['BEDIA', 'BEJIA', 'BEDDI', 'BERIA']"
BEHNA,"['BEHNA', 'SIDDIQUI', 'HANAFI']"
BELAMA,['BELAMA']
BELAVVA,"['PUJARI', 'BELAVVA']"
BELDAR,"['BHATI', 'SUNKAR', 'MUSLIM BELDAR', 'OD', 'TAWAR', 'BELDAR']"
BELLARA,['BELLARA']
BENAYAT,"['BENAYAT', 'MUNDA', 'GOUDA', 'SUKULIA', 'CHAKULIA', 'SATAGHARIA']"
BENTKAR,['BENTKAR']
BERAD,"['BEDAR NAIKWADI TALWAR WALMIKI', 'BERAD']"
BERIA,['BERIA']
BESTHA,"['BESTER', 'JALARI', 'BESTALLU', 'JALARU', 'BESTA', 'PUJARI', 'KUDARI', 'SIVIAR', 'CHEEMALA', 'POKANTI', 'YADAV', 'NAIKA', 'BUNDE-BESHTA', 'VALMIKI', 'SELLA', 'BESHTAR', 'BESTHA', 'SAYED', 'SANCHALUWADDAR', 'MOGERU', 'DASAI', 'BESTI', 'MATESHP']"
BETA,"['HANSI', 'HASI', 'HENSI', 'BETA']"
BETA HENSI,"['BETA HENSI', 'HESI']"
BETKAR,['BETKAR']
BHAAT,"['BHATRAJ', 'BHATRAJU', 'BOHROT', 'BHAAT']"
BHADBHUNJA,"['BHARADBHUNGA', 'BHURANJI', 'BHURJAWA', 'BHADBHUNJA', 'BHUNJ', 'BHURJI', 'BHUJWA']"
BHAINA,"['BHAINA', 'RAM']"
BHAJANTRI,['BHAJANTRI']
BHAJIR,['BHAJIR']
BHAKTA,['BHAKTA']
BHALDAR,['BHALDAR']
BHALIA,['BHALIA']
BHAMBI,"['TELEGU MOCHI', 'CHAMGAR', 'BHAMBI', 'PARDESHI CHAMAR', 'RAMNAMI', 'SURJYARAMNAMI', 'CHAMAR', 'KHALPA', 'MOCHIGAR', 'MACHIGAR', 'CHAMAR-RAVIDAS', 'MADAR', 'MUCHI', 'SURJYABANSHI', 'ASODI', 'CHAMBHAR', 'NONA', 'ROHIT', 'ASADARU', 'HARALI', 'MADIG', 'RANIGAR', 'SATNAMI', 'NALIA', 'CHAMARI', 'TELUGU MOCHI', 'HARALAYYA', 'KAMATI MOCHI', 'ROHIDAS', 'MOCHI', 'BHAMBHI', 'CHAMADIA', 'SAMGAR', 'SAMAGARA', 'CHARMAKAR']"
BHAMTA,"['GIRNI', 'PARDESHI', 'KAMATI', 'BHAMPTA', 'PATHRUT', 'TAKARI', 'GHANTICHORE', 'PARDESHI BHAMTA', 'BHOMPTRA', 'UCHILLIAN', 'UCHALE', 'BHAMTI', 'WADDAR', 'PARADESHI', 'BHAMTA']"
BHANBHUNIYA,['BHANBHUNIYA']
BHAND,['BHAND']
BHANDARI,"['KSHWRIKA', 'CHASA', 'RADHI', 'NAPITA', 'NAIK', 'SATAGHARIA', 'BHANDARI']"
BHANGI,"['BHANGI', 'LALBEGI', 'BALMIK', 'BARWASIA', 'RUKHI', 'RUSHI', 'ZADMALLI', 'ZAMPDA', 'BAKSHI PANCH', 'UPADHAYAY', 'JAMPHODA', 'OLGANA', 'BARWASHIA', 'CHURA', 'VALMIKI', 'BALMIKI', 'DHARKAR', 'KORAR', 'MALKANA', 'HELA', 'ZAMPADA', 'MEHTAR', 'HALALKHOR']"
BHANJA PURAN,['BHANJA PURAN']
BHANJRA,"['BHANJRE', 'BHANJRA']"
BHANTA,['BHANTA']
BHANUMATI,['BHANUMATI']
BHANUSHAIL,"['KACHHI', 'BHANUSHAIL']"
BHAR,"['RAJBHAR', 'BHAR', 'RAY', 'RAI']"
BHARADI BALASANTOSHI,"['NATH PANDHI', 'BHARADI BALASANTOSHI', 'KINGGRIWALE', 'NATH BAVA', 'NATH JOGI', 'DAVARI GOSAVI']"
BHARAIK,['BHARAIK']
BHARATHAR,"['BHARATHAR', 'PARAVAN']"
BHARBHOOJA,"['BHARBHUJA', 'KANU', 'BHARBHOOJA']"
BHARBHUNJA,"['BHARBHOOJA', 'BHARBHURIA', 'BHARBHUNJA', 'BHARBUNHA', 'BHARBHUJA', 'BHURJI']"
BHARDI,"['BHARGI', 'BHARDI']"
BHARIA BHUMIA,"['BHUINHAR BHUMIA', 'PALIHA', 'PANDO', 'BHARIA', 'BHARIA BHUMIA', 'BHUMIYA']"
BHARUD,"['YADAV', 'DHANGAR', 'BHARUD', 'DHANKAR', 'BHAROOD']"
BHARWAD,"['CHOTABHAI', 'BHARWAD', 'DHANGAR', 'MOTABHAI', 'MOTA BHAI', 'GADARIA', 'LAKHA', 'NANABHAI', 'GOLTAR', 'BHARVAD']"
BHASKAR,['BHASKAR']
BHAT,"['BHATTA', 'BHATT', 'RAMIYA', 'BHATRA', 'BHAT', 'ACHARYA', 'MIRASI', 'SHARMA', 'DARPI']"
BHAT CHARAN SAWLI,"['BHAT CHARAN SAWLI', 'BHAT CHARAN SALWI', 'SUTIYA RAV JASONDHI MARU-SONIA']"
BHAT RAJU,"['MUTHU RAJA', 'BHAT RAJU']"
BHATA,['BHATA']
BHATERA,"['BHATERA', 'YOGI']"
BHATHIARA,"['BHATHIARA', 'BHATIARA', 'BHATIYARA']"
BHATRAJU,['BHATRAJU']
BHATTA,['BHATTA']
BHATTI,['BHATTI']
BHATTRA,['BHATTRA']
BHATTU,"['BHATTU', 'CHATTTU']"
BHATUA,['BHATUA']
BHATUS,['BHATUS']
BHAVIN,['BHAVIN']
BHAWASAR,['BHAWASAR']
BHEDKUT,"['MANESH', 'BHEDKUT']"
BHIL,"['DHOLI BHIL', 'PAWRA', 'MEENA', 'VASAVA', 'TADVI BHIL', 'BHIL GARASIA', 'BHILALA', 'GAMETIA', 'BHAGALIA', 'DUNGRI GARASIA', 'MEWASI BHIL', 'RAWAL BHIL', 'VASAVE', 'BARELA', 'DUNGRI BHIL', 'PATELIA', 'BHIL', 'DHOLIBHIL']"
BHIL MEENA,"['BHIL MEENA', 'BHIL MINA']"
BHILALA,"['SETIA', 'NARGESH', 'BAKAULEY', 'SHAITE', 'BAGHEL', 'JHHILA', 'MORI', 'GWALE', 'BHEL', 'WAGE', 'RAWAT', 'DODWAL', 'VARMAN', 'ROMDADE', 'MUKATIB', 'SOLANKI', 'SONAR', 'DAMAR', 'BHURIYA', 'RATHOR', 'WASKALE', 'GANGWAL', 'BALKEY', 'SAITEY', 'MALVIA', 'YADAV', 'BHILALA', 'AKOLIYA', 'AWASE', 'KHANNA', 'BHAGE', 'CHAUHAN', 'ASKE', 'JILVE', 'DHILE', 'KHARTE', 'MUDALJE', 'NIHAL', 'KHATIYA', 'NINGWAL', 'JAMRE', 'KOLH', 'TADWLA', 'MANKOLI', 'DWAR', 'GORE', 'BADDLE', 'NARGAVE', 'KUSHWAHA', 'BHILA LA', 'BHEW', 'MANDOLI', 'DORWAR', 'DARBAR', 'KANASHE', 'CHONGAR', 'MOZALDA']"
BHISTI,"['BHISTI', 'PAKHALI', 'BHISTI-ABBASSI', 'BHISHTI', 'SAQQA-BHISTI', 'BHISHTI-ABBASI']"
BHOEP,['BHOEP']
BHOGTA,['BHOGTA']
BHOI,"['BHOIRAJ', 'KAHAR BHOI', 'KEWAT', 'GADHAV BHOI', 'BOI', 'KEVAT BHOJ', 'KIRAT BHOI', 'BHANARA BHOI', 'PALWAR BHOI', 'GADIA KAHARE', 'MACHHINDRA BHOI', 'TARU-NAVADI', 'ZINGA BHOI', 'KHADI BHOI', 'MACHWA', 'KIRAT', 'DHEEWAR BHOI', 'RAJ BHOI', 'MALHAV', 'DHIMAR', 'KHARE BHOI', 'PARDESHI BHOI', 'NAVADI', 'JATIA', 'SAHARA', 'DHURIA KAHAR', 'PALEWAR MACHHENDRA', 'MALHAR', 'BHOI-NAVADI', 'DHEVRA', 'KAHAR', 'DHIWAR BHOI', 'BHOI', 'SHRIMALI BHO', 'MANZI', 'DHEEWAR', 'DHIWAR']"
BHOKTA,"['BHOKTA', 'BHOGTA']"
BHOPA,['BHOPA']
BHORU,['BHORU']
BHOT,"['BHOT', 'BODH']"
BHOTTADA,"['DHOTADA', 'BHOTTADA']"
BHOVI,"['VARDDAR', 'WADDA', 'DASARLI', 'GANGEMATA', 'VADDAR', 'VODDAR', 'BHOVI', 'VADDA', 'ODDE', 'OD', 'WADDAR', 'WODDAR']"
BHOYAR,['BHOYAR']
