Caste,subcastes
BHANJA PURAN,['BHANJA PURAN']
BHANJRA,"['BHANJRA', 'BHANJRE']"
BHANTA,['BHANTA']
BHANUMATI,['BHANUMATI']
BHANUSHAIL,"['BHANUSHAIL', 'KACHHI']"
BHAR,"['RAY', 'RAI', 'RAJBHAR', 'BHAR']"
BHARADI BALASANTOSHI,"['BHARADI BALASANTOSHI', 'NATH BAVA', 'NATH JOGI', 'NATH PANDHI', 'KINGGRIWALE', 'DAVARI GOSAVI']"
BHARAIK,['BHARAIK']
BHARATHAR,"['BHARATHAR', 'PARAVAN']"
BHARBHOOJA,"['KANU', 'BHARBHOOJA']"
BHARBHOOJA,['BHARBHUJA']
BHARBHUNJA,"['BHARBHUNJA', 'BHARBHUJA', 'BHARBHOOJA', 'BHARBHURIA', 'BHURJI']"
BHARBHUNJA,"['BHARBUNHA', 'BHARBHUJA', 'BHARBHUNJA']"
BHARDI,"['BHARDI', 'BHARGI']"
BHARIA BHUMIA,"['BHUMIYA', 'BHARIA BHUMIA', 'PANDO', 'PALIHA', 'BHUINHAR BHUMIA', 'BHARIA']"
BHARUD,['BHAROOD']
BHARUD,"['BHARUD', 'DHANKAR', 'DHANGAR', 'YADAV', 'BHAROOD']"
BHARWAD,"['GOLTAR', 'LAKHA', 'CHOTABHAI', 'BHARWAD', 'BHARVAD', 'MOTA BHAI']"
BHARWAD,"['DHANGAR', 'BHARWAD', 'MOTABHAI', 'BHARWAD', 'NANABHAI', 'BHARWAD', 'GADARIA']"
BHASKAR,['BHASKAR']
BHAT,"['MIRASI', 'SHARMA', 'BHATTA', 'DARPI', 'BHAT', 'ACHARYA', 'BHATT', 'RAMIYA', 'BHATRA']"
BHAT,"['BHAT', 'BHATRA', 'DARPI', 'RAMIYA']"
BHAT CHARAN SAWLI,"['BHAT CHARAN SALWI', 'SUTIYA RAV JASONDHI MARU-SONIA']"
BHAT CHARAN SAWLI,"['SUTIYA RAV JASONDHI MARU-SONIA', 'BHAT CHARAN SAWLI']"
BHAT RAJU,"['BHAT RAJU', 'MUTHU RAJA']"
BHATA,['BHATA']
BHATERA,"['BHATERA', 'YOGI']"
BHATHIARA,['BHATHIARA']
BHATHIARA,['BHATIARA']
BHATHIARA,['BHATIYARA']
BHATRAJU,['BHATRAJU']
BHATTA,['BHATTA']
BHATTI,['BHATTI']
BHATTRA,['BHATTRA']
BHATTU,"['CHATTTU', 'BHATTU']"
BHATUA,['BHATUA']
BHATUS,['BHATUS']
BHAVIN,['BHAVIN']
BHAWASAR,['BHAWASAR']
BHEDKUT,"['BHEDKUT', 'MANESH']"
BHIL,"['TADVI BHIL', 'PAWRA', 'BARELA', 'DHOLI BHIL', 'RAWAL BHIL', 'DHOLIBHIL', 'MEENA', 'VASAVE', 'BHAGALIA', 'DUNGRI BHIL', 'GAMETIA', 'BHIL GARASIA', 'PATELIA', 'DUNGRI GARASIA', 'MEWASI BHIL', 'BHIL', 'VASAVA', 'BHILALA']"
BHIL MEENA,['BHIL MEENA']
BHIL MEENA,['BHIL MINA']
BHILALA,"['DARBAR', 'MOZALDA', 'MANKOLI', 'DORWAR', 'MUDALJE', 'DWAR', 'DAMAR', 'MORI', 'KHARTE', 'BADDLE', 'MUKATIB', 'SAITEY', 'GWALE', 'JHHILA', 'BHILALA', 'GANGWAL', 'GORE', 'KHATIYA', 'KUSHWAHA', 'SHAITE', 'NARGAVE', 'BAGHEL', 'BHAGE', 'KOLH', 'KHANNA', 'JILVE', 'BHILA LA', 'CHAUHAN', 'NINGWAL', 'BHEW', 'KANASHE', 'RAWAT', 'CHONGAR', 'BHURIYA', 'BALKEY', 'NIHAL', 'BAKAULEY', 'NARGESH', 'MALVIA', 'AWASE', 'TADWLA', 'WASKALE', 'SONAR', 'RATHOR', 'YADAV', 'ASKE', 'SETIA', 'WAGE', 'ROMDADE', 'DHILE', 'AKOLIYA', 'MANDOLI', 'VARMAN', 'DODWAL', 'SOLANKI', 'BHEL', 'JAMRE']"
BHISTI,"['BHISHTI', 'BHISHTI-ABBASI']"
BHISTI,"['BHISTI', 'BHISTI-ABBASSI', 'SAQQA-BHISTI', 'PAKHALI']"
BHOEP,['BHOEP']
BHOGTA,['BHOGTA']
